index,category,description
1752,ham email,Reminder to submit your timesheet
1753,spam email,Act now to secure your reward
1754,ham email,Invitation to team meeting
1755,spam email,"Your account has been compromised, verify now"
1756,ham email,Lunch plan for today?
1757,spam email,"Limited offer, earn money fast from home"
1758,ham email,Lunch plan for today?
1759,ham email,Please find attached the project report
1760,ham email,"Happy birthday, have a great day"
1761,ham email,"Happy birthday, have a great day"
1762,ham email,Weekly report submission
1763,spam email,"Exclusive deal just for you, click now"
1764,ham email,Weekly report submission
1765,ham email,Meeting scheduled for tomorrow at 10 AM
1766,ham email,Let's catch up this weekend
1767,spam email,Urgent: update your bank details immediately
1768,ham email,"Happy birthday, have a great day"
1769,spam email,"Your account has been compromised, verify now"
1770,ham email,Can we reschedule our call?
1771,ham email,Invitation to team meeting
1772,ham email,"Happy birthday, have a great day"
1773,spam email,"Limited offer, earn money fast from home"
1774,spam email,Get rich quick with this simple trick
1775,ham email,Reminder to submit your timesheet
1776,ham email,Project update: tasks completed
1777,spam email,"Exclusive deal just for you, click now"
1778,ham email,Meeting scheduled for tomorrow at 10 AM
1779,ham email,Let's catch up this weekend
1780,spam email,Claim your free gift card today
1781,ham email,Weekly report submission
1782,ham email,Can we reschedule our call?
1783,spam email,"Exclusive deal just for you, click now"
1784,ham email,Project update: tasks completed
1785,ham email,Invitation to team meeting
1786,ham email,"Happy birthday, have a great day"
1787,ham email,Weekly report submission
1788,ham email,Weekly report submission
1789,spam email,Claim your free gift card today
1790,ham email,Reminder to submit your timesheet
1791,ham email,Invitation to team meeting
1792,spam email,"Congratulations, you won a lottery"
1793,ham email,Lunch plan for today?
1794,ham email,Can we reschedule our call?
1795,ham email,Reminder to submit your timesheet
1796,spam email,"Congratulations, you won a lottery"
1797,spam email,"Congratulations, you won a lottery"
1798,ham email,Please find attached the project report
1799,ham email,Reminder to submit your timesheet
1800,spam email,"Your account has been compromised, verify now"
1801,ham email,Lunch plan for today?
1802,ham email,Invitation to team meeting
1803,ham email,Project update: tasks completed
1804,spam email,You have been selected for a prize reward
1805,spam email,"Limited offer, earn money fast from home"
1806,ham email,Invitation to team meeting
1807,ham email,Weekly report submission
1808,ham email,Reminder to submit your timesheet
1809,ham email,Invitation to team meeting
1810,ham email,Weekly report submission
1811,spam email,"Win a free iPhone now, click here"
1812,ham email,Let's catch up this weekend
1813,ham email,Let's catch up this weekend
1814,ham email,Meeting scheduled for tomorrow at 10 AM
1815,spam email,Urgent: update your bank details immediately
1816,ham email,Please find attached the project report
1817,ham email,Lunch plan for today?
1818,ham email,Invitation to team meeting
1819,ham email,Can we reschedule our call?
1820,ham email,Lunch plan for today?
1821,spam email,Get rich quick with this simple trick
1822,ham email,Let's catch up this weekend
1823,spam email,"Limited offer, earn money fast from home"
1824,ham email,Can we reschedule our call?
1825,ham email,"Happy birthday, have a great day"
1826,spam email,You have been selected for a prize reward
1827,ham email,Project update: tasks completed
1828,ham email,Can we reschedule our call?
1829,ham email,Weekly report submission
1830,ham email,Lunch plan for today?
1831,spam email,"Win a free iPhone now, click here"
1832,spam email,"Exclusive deal just for you, click now"
1833,ham email,Lunch plan for today?
1834,spam email,"Win a free iPhone now, click here"
1835,spam email,Urgent: update your bank details immediately
1836,ham email,Please find attached the project report
1837,ham email,Let's catch up this weekend
1838,spam email,You have been selected for a prize reward
1839,ham email,"Happy birthday, have a great day"
1840,spam email,"Win a free iPhone now, click here"
1841,spam email,Get rich quick with this simple trick
1842,spam email,"Congratulations, you won a lottery"
1843,spam email,Act now to secure your reward
1844,ham email,Lunch plan for today?
1845,spam email,"Exclusive deal just for you, click now"
1846,spam email,Get rich quick with this simple trick
1847,ham email,Project update: tasks completed
1848,spam email,"Your account has been compromised, verify now"
1849,ham email,Let's catch up this weekend
1850,ham email,Can we reschedule our call?
1851,spam email,Urgent: update your bank details immediately
1852,ham email,Meeting scheduled for tomorrow at 10 AM
1853,ham email,Reminder to submit your timesheet
1854,spam email,Get rich quick with this simple trick
1855,ham email,Weekly report submission
1856,ham email,Lunch plan for today?
1857,ham email,Meeting scheduled for tomorrow at 10 AM
1858,ham email,Project update: tasks completed
1859,spam email,Get rich quick with this simple trick
1860,ham email,Lunch plan for today?
1861,ham email,Let's catch up this weekend
1862,ham email,Please find attached the project report
1863,ham email,Weekly report submission
1864,spam email,"Congratulations, you won a lottery"
1865,ham email,Let's catch up this weekend
1866,ham email,Meeting scheduled for tomorrow at 10 AM
1867,spam email,"Your account has been compromised, verify now"
1868,spam email,"Limited offer, earn money fast from home"
1869,ham email,Weekly report submission
1870,ham email,Lunch plan for today?
1871,spam email,Claim your free gift card today
1872,spam email,Get rich quick with this simple trick
1873,ham email,Project update: tasks completed
1874,spam email,"Your account has been compromised, verify now"
1875,spam email,"Win a free iPhone now, click here"
1876,spam email,You have been selected for a prize reward
1877,ham email,Reminder to submit your timesheet
1878,spam email,"Congratulations, you won a lottery"
1879,ham email,Please find attached the project report
1880,ham email,Meeting scheduled for tomorrow at 10 AM
1881,spam email,Claim your free gift card today
1882,spam email,Get rich quick with this simple trick
1883,ham email,"Happy birthday, have a great day"
1884,ham email,Please find attached the project report
1885,spam email,Claim your free gift card today
1886,ham email,Invitation to team meeting
1887,spam email,Get rich quick with this simple trick
1888,ham email,Project update: tasks completed
1889,ham email,Weekly report submission
1890,ham email,Reminder to submit your timesheet
1891,ham email,Invitation to team meeting
1892,ham email,Can we reschedule our call?
1893,ham email,Invitation to team meeting
1894,spam email,"Exclusive deal just for you, click now"
1895,spam email,"Your account has been compromised, verify now"
1896,spam email,You have been selected for a prize reward
1897,ham email,"Happy birthday, have a great day"
1898,ham email,Weekly report submission
1899,spam email,Urgent: update your bank details immediately
1900,ham email,Let's catch up this weekend
1901,ham email,Lunch plan for today?
1902,spam email,Urgent: update your bank details immediately
1903,spam email,"Your account has been compromised, verify now"
1904,ham email,Project update: tasks completed
1905,ham email,Weekly report submission
1906,ham email,Project update: tasks completed
1907,spam email,"Congratulations, you won a lottery"
1908,ham email,Meeting scheduled for tomorrow at 10 AM
1909,spam email,Get rich quick with this simple trick
1910,spam email,Get rich quick with this simple trick
1911,spam email,"Your account has been compromised, verify now"
1912,ham email,Please find attached the project report
1913,spam email,"Your account has been compromised, verify now"
1914,spam email,You have been selected for a prize reward
1915,spam email,"Your account has been compromised, verify now"
1916,ham email,Meeting scheduled for tomorrow at 10 AM
1917,ham email,Project update: tasks completed
1918,spam email,"Congratulations, you won a lottery"
1919,spam email,"Your account has been compromised, verify now"
1920,ham email,Meeting scheduled for tomorrow at 10 AM
1921,spam email,Act now to secure your reward
1922,ham email,Let's catch up this weekend
1923,spam email,"Win a free iPhone now, click here"
1924,spam email,"Win a free iPhone now, click here"
1925,ham email,Meeting scheduled for tomorrow at 10 AM
1926,ham email,Reminder to submit your timesheet
1927,spam email,Act now to secure your reward
1928,ham email,Project update: tasks completed
1929,ham email,Can we reschedule our call?
1930,ham email,Reminder to submit your timesheet
